0.3um,co2,date,time,weather_idx
786,427,2026-01-13,2.940277777777778,104
902,427,2026-01-13,2.943055555555556,104
1024,427,2026-01-13,2.9458333333333337,104
836,427,2026-01-13,2.9486111111111115,104
719,427,2026-01-13,2.9513888888888893,104
825,427,2026-01-13,2.954166666666667,104
906,427,2026-01-13,2.956944444444445,104
771,427,2026-01-13,2.9597222222222226,104
708,427,2026-01-13,2.9625000000000004,104
790,427,2026-01-13,2.965277777777778,104
878,427,2026-01-13,2.968055555555556,104
814,427,2026-01-13,2.9708333333333337,104
861,427,2026-01-13,2.9736111111111114,104
918,427,2026-01-13,2.976388888888889,104
897,427,2026-01-13,2.979166666666667,104
789,427,2026-01-13,2.9819444444444447,104
863,427,2026-01-13,2.9847222222222225,104
894,427,2026-01-13,2.9875000000000003,104
876,427,2026-01-13,2.990277777777778,104
927,427,2026-01-13,2.993055555555556,104
827,427,2026-01-13,2.9958333333333336,104
817,427,2026-01-13,2.9986111111111113,104
929,427,2026-01-13,3.001388888888889,104
840,427,2026-01-13,3.004166666666667,104
808,427,2026-01-13,3.0069444444444446,104
748,427,2026-01-13,3.0097222222222224,104
713,427,2026-01-13,3.0125,104
731,427,2026-01-13,3.015277777777778,104
819,427,2026-01-13,3.0180555555555557,104
841,427,2026-01-13,3.0208333333333335,104
741,427,2026-01-13,3.0236111111111112,104
719,427,2026-01-13,3.026388888888889,104
804,427,2026-01-13,3.029166666666667,104
825,427,2026-01-13,3.0319444444444446,104
850,428,2026-01-13,3.0347222222222223,104
894,427,2026-01-13,3.0375,104
903,427,2026-01-13,3.040277777777778,104
829,427,2026-01-13,3.0430555555555556,104
760,427,2026-01-13,3.0458333333333334,104
736,427,2026-01-13,3.048611111111111,104
712,427,2026-01-13,3.051388888888889,104
701,427,2026-01-13,3.0541666666666667,104
724,427,2026-01-13,3.0569444444444445,104
729,427,2026-01-13,3.0597222222222222,104
714,427,2026-01-13,3.0625,104
810,427,2026-01-13,3.0652777777777778,104
898,427,2026-01-13,3.068055555555556,104
848,427,2026-01-13,3.0708333333333337,104
810,427,2026-01-13,3.0736111111111115,104
831,427,2026-01-13,3.0763888888888893,104
894,427,2026-01-13,3.079166666666667,104
999,427,2026-01-13,3.081944444444445,104
973,427,2026-01-13,3.0847222222222226,104
870,427,2026-01-13,3.0875000000000004,104
803,427,2026-01-13,3.090277777777778,104
786,427,2026-01-13,3.093055555555556,104
819,427,2026-01-13,3.0958333333333337,104
787,427,2026-01-13,3.0986111111111114,104
765,427,2026-01-13,3.101388888888889,104
744,427,2026-01-13,3.104166666666667,104
750,427,2026-01-13,3.1069444444444447,104
789,427,2026-01-13,3.1097222222222225,104
783,427,2026-01-13,3.1125000000000003,104
789,427,2026-01-13,3.115277777777778,104
809,427,2026-01-13,3.118055555555556,104
819,427,2026-01-13,3.1208333333333336,104
695,427,2026-01-13,3.1236111111111113,104
725,427,2026-01-13,3.126388888888889,104
759,427,2026-01-13,3.129166666666667,104
765,427,2026-01-13,3.1319444444444446,104
803,427,2026-01-13,3.1347222222222224,104
730,427,2026-01-13,3.1375,104
675,427,2026-01-13,3.140277777777778,104
642,427,2026-01-13,3.1430555555555557,104
627,427,2026-01-13,3.1458333333333335,104
776,427,2026-01-13,3.1486111111111112,104
774,427,2026-01-13,3.151388888888889,104
710,427,2026-01-13,3.154166666666667,104
651,427,2026-01-13,3.1569444444444446,104
649,427,2026-01-13,3.1597222222222223,104
798,427,2026-01-13,3.1625,104
838,427,2026-01-13,3.165277777777778,104
763,427,2026-01-13,3.1680555555555556,104
881,427,2026-01-13,3.1708333333333334,104
951,427,2026-01-13,3.173611111111111,104
813,427,2026-01-13,3.176388888888889,104
728,427,2026-01-13,3.1791666666666667,104
818,427,2026-01-13,3.1819444444444445,104
847,427,2026-01-13,3.1847222222222222,104
918,427,2026-01-13,3.1875,104
846,427,2026-01-13,3.1902777777777778,104
759,427,2026-01-13,3.1930555555555555,104
745,427,2026-01-13,3.1958333333333333,104
723,427,2026-01-13,3.198611111111111,104
657,427,2026-01-13,3.2013888888888893,104
668,427,2026-01-13,3.204166666666667,104
759,427,2026-01-13,3.206944444444445,104
861,427,2026-01-13,3.2097222222222226,104
746,427,2026-01-13,3.2125000000000004,104
651,427,2026-01-13,3.215277777777778,104
768,426,2026-01-13,3.218055555555556,104
904,426,2026-01-13,3.2208333333333337,104
843,426,2026-01-13,3.2236111111111114,104
744,426,2026-01-13,3.226388888888889,104
728,426,2026-01-13,3.229166666666667,104
771,426,2026-01-13,3.2319444444444447,104
810,426,2026-01-13,3.2347222222222225,104
750,426,2026-01-13,3.2375000000000003,104
802,426,2026-01-13,3.240277777777778,104
752,426,2026-01-13,3.243055555555556,104
653,426,2026-01-13,3.2458333333333336,104
767,426,2026-01-13,3.2486111111111113,104
765,426,2026-01-13,3.251388888888889,104
747,426,2026-01-13,3.254166666666667,104
852,427,2026-01-13,3.2569444444444446,104
867,427,2026-01-13,3.2597222222222224,104
748,426,2026-01-13,3.2625,104
787,426,2026-01-13,3.265277777777778,104
825,426,2026-01-13,3.2680555555555557,104
790,426,2026-01-13,3.2708333333333335,104
684,426,2026-01-13,3.2736111111111112,104
653,426,2026-01-13,3.276388888888889,104
834,426,2026-01-13,3.279166666666667,104
933,426,2026-01-13,3.2819444444444446,104
903,426,2026-01-13,3.2847222222222223,104
833,426,2026-01-13,3.2875,104
731,426,2026-01-13,3.290277777777778,104
711,426,2026-01-13,3.2930555555555556,104
718,426,2026-01-13,3.2958333333333334,104
707,426,2026-01-13,3.298611111111111,104
743,426,2026-01-13,3.301388888888889,104
804,427,2026-01-13,3.3041666666666667,104
855,427,2026-01-13,3.3069444444444445,104
834,427,2026-01-13,3.3097222222222222,104
771,427,2026-01-13,3.3125,104
746,427,2026-01-13,3.3152777777777778,104
744,427,2026-01-13,3.3180555555555555,104
719,427,2026-01-13,3.3208333333333333,104
756,427,2026-01-13,3.323611111111111,104
692,427,2026-01-13,3.326388888888889,104
738,427,2026-01-13,3.3291666666666666,104
850,427,2026-01-13,3.3319444444444444,104
846,427,2026-01-13,3.3347222222222226,104
837,427,2026-01-13,3.3375000000000004,104
780,427,2026-01-13,3.340277777777778,104
760,427,2026-01-13,3.343055555555556,104
811,427,2026-01-13,3.3458333333333337,104
695,427,2026-01-13,3.3486111111111114,104
711,427,2026-01-13,3.351388888888889,104
751,427,2026-01-13,3.354166666666667,104
738,427,2026-01-13,3.3569444444444447,104
738,427,2026-01-13,3.3597222222222225,104
876,427,2026-01-13,3.3625000000000003,104
1008,427,2026-01-13,3.365277777777778,104
1018,427,2026-01-13,3.368055555555556,104
897,427,2026-01-13,3.3708333333333336,104
778,427,2026-01-13,3.3736111111111113,104
785,427,2026-01-13,3.376388888888889,104
781,426,2026-01-13,3.379166666666667,104
855,426,2026-01-13,3.3819444444444446,104
863,426,2026-01-13,3.3847222222222224,105
802,426,2026-01-13,3.3875,105
693,426,2026-01-13,3.390277777777778,105
729,426,2026-01-13,3.3930555555555557,105
774,426,2026-01-13,3.3958333333333335,105
750,426,2026-01-13,3.3986111111111112,105
717,426,2026-01-13,3.401388888888889,105
739,426,2026-01-13,3.404166666666667,105
